麻黄,发汗散寒，宣肺平喘，利水消肿。
香薷,发汗解表，化湿和中。
桂枝,发汗解肌，温通经脉，助阳化气，平冲降气。
紫苏叶,解表散寒，行气和胃。
紫苏梗,理气宽中，止痛，安胎。
荆芥,解表散风，透疹，消疮。
荆芥穗,解表散风，透疹，消疮。
荆芥炭,收敛止血。
防风,祛风解表，胜湿止痛，止痉。
羌活,解表散寒，祛风除湿，止痛。
独活,祛风除湿，同痹止痛。
白芷,解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓。
细辛,解表散寒，祛风止痛，通窍，温肺化饮。
生姜,解表散寒，温中止呕，化痰止咳，解鱼蟹毒。
苍耳子,散风寒，通鼻窍，祛风湿。
辛夷,散风寒，通鼻窍。
鹅不食草,发散风寒，通鼻窍，止咳。
藁本,祛风，散寒，除湿，止痛。
菊花,散风清热，平肝明目，清热解毒。
野菊花,泻火平肝，清热解毒。
桑叶,疏散风热，清肺润燥，清肝明目。
薄荷,疏散风热，清利头目，利咽，透疹，疏肝行气。
牛蒡子,疏散风热，解毒利咽，宣肺透疹。
蝉蜕,疏散风热，利咽，透疹，明目退翳，解痉。
蛇蜕,祛风，定惊，解毒，退翳。
蔓荆子,疏散风热，清利头目。
木贼,疏散风热，明目退翳。
谷精草,疏散风热，明目退翳。
罗汉果,清热润肺，利咽开音，滑肠通便。
胖大海,清热润肺，利咽开音，润肠通便。
木蝴蝶,清肺利咽，疏肝和胃。
马勃,清肺利咽，止血。
柴胡,疏散退热，疏肝解郁，升举阳气。
升麻,发表透疹，清热解毒，升举阳气。
葛根,解肌退热，生津止渴，升阳止泻，透疹，解酒毒，通经活络。
贯叶金丝桃,疏肝解郁，清热利湿，消肿通乳。
蒺藜,平肝解郁，活血祛风，明目，止痒。
蕤仁,疏风散热，养肝明目。
淡豆豉,解表，除烦，宣发郁热。
浮萍,宣散风热，透疹，利尿。
西河流,发表透疹，祛风除湿。
寒水石,清热泻火。
石膏,清热泻火，除烦止渴。
煅石膏,收湿，生肌敛疮，止血。
知母,清热泻火，滋阴润燥。
淡竹叶,清热泻火，除烦止渴，利尿通淋。
鸭跖草,清热泻火，解毒，利水消肿。
芦根,清热泻火，生津止渴，除烦，止呕，利尿。
天花粉,清热泻火，生津止渴，消肿排脓。
西瓜霜,清热泻火，消肿止痛。
西青果,清热生津，解毒。
青果,清热解毒，利咽，生津。
栀子,泻火除烦，清热利湿，凉血解毒，外用消肿止痛。
焦栀子,凉血止血。
谷精草,疏散风热，明目退翳。
密蒙花,清热泻火，养肝明目，退翳。
青葙子,清肝泻火，明目退翳。
夏枯草,清肝泻火，明目，散结消肿。
决明子,清热明目，润肠通便。
菥蓂,清肝明目，和中利湿，解毒消肿。
菊苣,清肝利胆，健胃消食，利尿消肿。
功劳木,清热燥湿，泻火解毒。
三颗针,清热燥湿，泻火解毒。
黄芩,清热燥湿，泻火解毒，止血，安胎。
黄连,清热燥湿，泻火解毒。
黄柏,清热燥湿，泻火除蒸，解毒疗疮。
龙胆,清热燥湿，泻肝胆火。
红花龙胆,清热除湿，解毒，止咳。
金龙胆草,清热化痰，止咳平喘，凉血止血，解毒利湿。
苦参,清热燥湿，杀虫，利尿。
苦玄参,清热解毒，消肿止痛。
玄参,清热凉血，滋阴降火，解毒散结。
白鲜皮,清热燥湿，祛风解毒。
秦皮,清热燥湿，收涩止痢，止带，明目。
椿皮,清热燥湿，收敛止带，止泻，止血。
鲜地黄,清热生津，凉血，止血。
生地黄,清热凉血，养阴生津。
熟地黄,补血滋阴，益精填髓。
玄参,清热凉血，滋阴降火，解毒散结。
牡丹皮,清热凉血，活血化瘀。
赤芍,清热凉血，散瘀止痛。
紫草,清热凉血，活血解毒，透疹消斑。
肿节风,清热凉血，活血消斑，祛风通络。
大青盐,清热，凉血，明目。
白薇,清热凉血，利尿通淋，解毒疗疮。
水牛角,清热凉血，解毒，定惊。
木芙蓉叶,凉血，解毒，消肿，止痛。
余甘子,清热凉血，消食健胃，生津止咳。
荷叶,清暑化湿，升发清阳，凉血止血。
荷叶炭,收涩化瘀止血。
金银花,清热解毒，疏散风热。
忍冬藤,清热解毒，疏风通络。
一枝黄花,清热解毒，疏散风热。
连翘,清热解毒，疏散风热，消肿散结。
板蓝根,清热解毒，凉血利咽。
南板蓝根,清热解毒，凉血，消斑。
大青叶,清热解毒，凉血消斑。
青黛,清热解毒，凉血消斑，泻火定惊。
拳参,清热解毒，消肿，止血。
白蔹,清热解毒，敛疮生肌，消痈散结。
天葵子,清热解毒，消肿散结。
冬葵子,利尿通淋，下乳，润肠通便。
苦地丁,清热解毒，散结消肿。
紫花地丁,清热解毒，凉血消肿。
筋骨草,清热解毒，凉血消肿。
穿心莲,清热解毒，凉血，消肿。
漏芦,清热解毒，消痈，下乳，舒筋通脉。
蒲公英,清热解毒，利尿通淋，消肿散结。
鱼腥草,清热解毒，利尿通淋，消痈排脓。
白花蛇舌草,清热解毒，消痈散结，利水。
败酱草,清热解毒，利尿消肿，活血止痛。
木鳖子,散结消肿，攻毒疗疮。
皂角刺,消肿脱毒，排脓，杀虫。
狼毒,杀虫，散结。
重楼,清热解毒，消肿止痛，凉肝定惊。
黄药,清热解毒，化痰散结，凉血止血。
山慈菇,清热解毒，化痰散结。
猫爪草,化痰散结，解毒消肿。
人工牛黄,清热解毒，化痰定惊。
金荞麦,清热解毒，排脓祛瘀。
四季青,清热解毒，消肿祛瘀。
半枝莲,清热解毒，化瘀利尿。
半边莲,清热解毒，利尿消肿。
三白草,清热解毒，利尿消肿。
杠板归,清热解毒，利尿消肿，止咳。
臭灵丹草,清热解毒，止咳祛痰。
高山辣根菜,清热解毒，清肺止咳，消肿，止血。
绵马贯众,清热解毒，驱虫。
绵马贯炭,收涩止血。
紫萁贯众,清热解毒，杀虫止血。
土茯苓,解毒，除湿，通利关节。
马齿苋,清热解毒，凉血止血，止痢。
地锦草,清热解毒，凉血止血，利湿退黄。
救必应,清热解毒，利湿止痛。
飞扬草,清热解毒，利湿止痒。
千里光,清热解毒，利湿，明目。
苘麻子,清热解毒，利湿，退翳。
翼首草,解毒除瘟，清热止痢。
鸦胆子,清热解毒，止痢，劫疟，外用腐蚀赘疣。
白头翁,清热解毒，凉血止痢。
委陵菜,清热解毒，凉血止痢。
翻白草,清热解毒，止血，止痢
苦木,清热解毒，祛湿。
洪连,清热，解毒，利湿，平肝，行血，调经。
射干,清热解毒，消痰利咽。
山豆根,清热解毒，消肿利咽。
北豆根,清热解毒，祛风止痛。
山香圆叶,清热解毒，活血止痛，利咽消肿。
马勃,清肺利咽，止血。
木蝴蝶,清肺利咽，疏肝和胃。
锦灯笼,清热解毒，利尿通淋，利咽化痰。
青果,清热解毒，利咽，生津。
西青果,清热生津，解毒。
金果榄,清热解毒，利咽，止痛。
大血藤,清热解毒，活血，祛风止痛。
冬凌草,清热解毒，活血止痛。
黄藤,清热解毒，泻火通便。
青蒿,清虚热，除骨蒸，解暑热，劫疟，退黄。
地骨皮,清肺降火，凉血除蒸。
银柴胡,清虚热，除疳热。
胡黄连,清湿热，退虚热，除疳热。
大黄,泻下攻积，清热泻火，凉血解毒，利湿退黄，逐瘀通经。
芒硝,泻下通便，清火消肿，润燥软坚。
玄明粉,泻下通便，清火消肿，润燥软坚。
芦荟,泻下通便，清肝泻火，杀虫疗疳。
番泻叶,泻热行滞，通便，利水。
蓖麻子,泻下通滞，消肿拔毒。
亚麻子,润燥通便，养血祛风。
火麻仁,润肠通便。
郁李仁,润肠通便，下气利水。
大戟,泻水逐饮，消肿散结。
甘遂,泻水逐饮，消肿散结。
芫花,泻水逐饮，外用杀虫疗疮。
千金子,泻下逐水，破血消徵。
牵牛子,泻水通便，消痰涤饮，杀虫攻积。
商陆,逐水消肿，通利二便，外用解毒散结。
巴豆,竣下冷积，豁痰利咽，逐水退肿，外用蚀疮。
独活,祛风除湿，通痹止痛。
羌活,解表散寒，祛风除湿，止痛
油松节,祛风除湿，通络止痛。
丁公藤,祛风除湿，消肿止痛。
雷公藤,祛风除湿，活血通络，杀虫解毒，消肿止痛。
防己,祛风止痛，利水消肿。
制川乌,祛风除湿，温经止痛。
制草乌,祛风除湿，温经止痛。
草乌叶,清热，解毒，止痛。
地枫皮,祛风除湿，行气止痛。
闹羊花,祛风除湿，散瘀止痛。
金铁锁,祛风除湿，散瘀止痛，解毒消肿。
朱砂根,祛风除湿，活血止痛，解毒消肿。
秦艽,祛风湿，止痹痛，清湿热，退虚热。
徐长卿,祛风，化湿，止痛，止痒。
威灵仙,祛风湿，通经络。
老鹳草,祛风湿，通经络，止泻痢。
臭梧桐,祛风湿，通经络，降血压。
伸筋草,祛风除湿，舒筋活络。
穿山龙,祛风除湿，舒筋活络，活血止痛，止咳平喘。
夏天无,祛风除湿，舒筋活络，活血止痛。
木瓜,舒筋活络，和胃化湿。
野木瓜,祛风止痛，舒筋活络。
络石藤,祛风通络，凉血消肿。
青风藤,祛风湿，通经络，利小便。
海风藤,祛风湿，通经络，止痹痛。
路路通,祛风活络，利水，通经。
蕲蛇,祛风，通络，止痉。
金钱白花蛇,祛风，通络，止痉。
乌梢蛇,祛风，通络，止痉。
桑寄生,祛风湿，补肝肾，强筋骨，安胎元。
槲寄生,祛风湿，补肝肾，强筋骨，安胎元。
鹿衔草,祛风湿，强筋骨，止咳，止血。
香加皮,祛风湿，强筋骨，利水消肿。
五加皮,祛风除湿，补益肝肾，强筋壮骨，利水消肿。
千年健,祛风湿，壮筋骨。
狗脊,祛风湿，补肝肾，强腰膝。
桑枝,祛风湿，利关节。
豨签草,祛风湿，利关节，解毒。
丝瓜络,祛风通络，活血，下乳。
两头尖,祛风湿，消痈肿。
苍术,燥湿健脾，祛风散寒，明目。
白术,健脾益气，燥湿利水，止汗，安胎。
厚朴,燥湿消痰，下气除满。
厚朴花,理气宽中，芳香化湿。
广藿香,芳香化浊，和中止呕，发表解暑。
佩兰,芳香化湿，醒脾开胃，发表解暑。
砂仁,化湿开胃，温脾止泻，理气安胎。
豆蔻,化湿行气，温中止呕，开胃消食。
红豆蔻,散寒燥湿，醒脾消食。
草豆蔻,燥湿行气，温中止呕。
肉豆蔻,温中行气，涩肠止泻。
草果,燥湿温中，劫疟除痰。
冬瓜皮,利水消肿。
茯苓皮,利水消肿。
三百草,利水消肿，清热解毒。
杠板归,利水消肿，清热解毒，止咳。
茯苓,利水渗湿，健脾，宁心。
赤小豆,利水消肿，解毒排脓。
猪苓,利水渗湿。
泽泻,利水渗湿，泄热，化浊降脂。
薏苡仁,利水渗湿，健脾止泻，除痹，排脓，解毒散结。
粉萆薢,利湿去浊，祛风除痹。
绵萆薢,利湿去浊，祛风除痹。
菝葜,利湿去浊，祛风除痹，解毒散瘀。
云芝,健脾利湿，清热解毒。
白扁豆,健脾化湿，和中消暑。
车前子,清热利尿通淋，渗湿止泻，明目，祛痰。
车前草,清热利尿通淋，凉血，解毒，祛痰。
积雪草,清热利湿，解毒消肿。
地肤子,清热利湿，祛风止痒。
青叶胆,清热利湿，清肝利胆。
大豆黄卷,清热利湿，解表祛暑。
木棉花,清热利湿，解毒。
海金沙,清利湿热，通淋止痛。
黄蜀葵花,清利湿热，消肿解毒。
冬葵果,清热利尿，消肿。
通草,清热利尿，通气下乳。
小通草,清热，利尿，下乳。
当药,清湿热，健胃。
灯心草,清心火，利小便。
蓍草,解毒利湿，活血止痛。
木通,利尿通淋，通经下乳，清心除烦。
滑石,利尿通淋，清热解暑，外用祛湿敛疮。
滑石粉,利尿通淋，清热解暑，外用祛湿敛疮。
瞿麦,利尿通淋，活血通经。
萹蓄,利尿通淋，杀虫，止痒。
广金钱草,利尿通淋，利湿退黄
金钱草,利尿通淋，利湿退黄，解毒消肿。
石韦,利尿通淋，清肺止咳，凉血止血。
茵陈,清利湿热，利胆退黄。
广金钱草,利尿通淋，利湿退黄
金钱草,利尿通淋，利湿退黄，解毒消肿。
垂盆草,利湿退黄，清热解毒。
鸡骨草,利湿退黄，清热解毒，疏肝止痛。
虎杖,利湿退黄，清热解毒，散瘀止痛，止咳化痰。
连钱草,利湿通淋，清热解毒，散瘀消肿。
附子,回阳救逆，补火助阳，散寒止痛。
肉桂,补火助阳，散寒止痛，温经通脉，引火归元。
干姜,回阳通脉，温中散寒，温肺化饮。
吴茱萸,散寒止痛，助阳止泻，降逆止呕。
高良姜,散寒止痛，温胃止呕。
小茴香,散寒止痛，理气和胃。
胡椒,温中散寒，下气，消痰。
辣椒,温中散寒，开胃消食。
荜茇,温中散寒，下气止痛。
荜澄茄,温中散寒，行气止痛。
八角茴香,温阳散寒，行气止痛。
葫芦巴,温肾助阳，祛寒止痛。
炮姜,温中止痛，温经止血。
花椒,温中止痛，杀虫，止痒。
丁香,温中降逆，补肾助阳。
母丁香,温中降逆，补肾助阳
刀豆,稳中，下气，止呃。
芥子,温肺豁痰利气。散结通络止痛。
乌药,行气止痛，温肾散寒。
荔枝核,行气散结，祛寒止痛。
橘核,理气，散结，止痛。
陈皮,理气健脾，燥湿化痰。
化橘红,理气宽中，燥湿化痰。
橘红,行气宽中，燥湿化痰，发表散寒。
青皮,疏肝破气，消积化滞。
枳实,破气消积，化痰散痞。
枳壳,理气宽中，行滞消胀。
木香,行气止痛，健脾消食。
川木香,行气止痛。
青木香,行气止痛，解毒消肿。
土木香,行气止痛，健脾和胃，安胎。
沉香,行气止痛，温中止呕，纳气平喘。
九里香,行气止痛，活血散瘀。
降香,理气止痛，化瘀止血。
九香虫,理气止痛，温中助阳。
黄药,理气止痛，解毒消肿。
甘松,理气止痛，开郁醒脾，外用祛湿消肿。
蜘蛛香,理气止痛，消食止泻，祛风除湿，镇惊安神。
檀香,行气温中，开胃止痛。
山奈,行气温中，消食，止痛。
玫瑰花,行气解郁，和血，止痛。
月季花,活血调经，疏肝解郁。
大腹皮,行气宽中，行水消肿。
槟榔,杀虫，消积，行气，利水。
薤白,行气导滞，通阳散结。
娑罗子,疏肝理气，和胃止痛。
佛手,疏肝理气，和胃止痛，燥湿化痰。
预知子,疏肝理气，活血止痛，散结，利尿。
香橼,疏肝理气，宽中化痰。
香附,疏肝解郁，调经止痛，理气宽中。
川楝子,疏肝泄热，行气止痛，杀虫。
梅花,舒肝和中，化痰散结。
