药名,性味,功效,临床应用
雪莲花,微苦，甘温，肝肾,祛风湿，强筋骨，温肾阳，活血通经,1.用于风寒湿痹，筋骨无力。2.用于肾虚阳痿，3.用于月经不调，痛经白带。止血，治外伤出血。
广藿香,辛微温，脾胃肺,化湿，解暑，止呕,1、用于湿滞中焦证2、用于暑湿证及湿温证初起3、用于呕吐
佩兰,辛平，脾胃肺,化湿，解暑,1、用于湿滞中焦证2、用于外感暑湿或湿温初起
苍术,辛苦温，脾胃,燥湿健脾，祛风湿，发表,1、用于湿滞中焦证2、用于风湿痹痛3.外感表证夹湿之证
厚朴,苦辛温，脾胃肺大肠,燥湿，行气，消积，平喘,1、用于湿阻中焦证2用于肠胃积滞3、用于痰饮喘咳
砂仁,辛，温，脾胃,化湿开胃，温脾止泻， 理气安胎,1、用于湿阻中焦，脾胃气滞证2、用于脾胃虚寒吐泻3、用于妊娠气滞恶阻及胎动不安
白豆蔻,辛温，肺脾胃,化湿行气，温中止呕,1、用于湿滞中焦及脾胃气滞证2、用于呕吐
草豆蔻,辛，温，脾胃,燥湿行气，温中止呕,1、用于寒湿中阻，脾胃气滞证2、用于虚寒夹湿久泻
草果,辛，温，脾胃,燥湿散寒，除痰截虐,1、用于寒湿中阻证2、用于疟疾
茯苓,甘淡平，心脾胃,利水渗湿，健脾安神,1、水肿、小便不利2、脾虚诸证3、心悸，失眠
猪苓,甘淡平，肾膀胱,利水渗湿,水肿、小便不利，泄泻，淋浊，带下
泽泻,甘淡寒，肾膀胱,利水渗湿，泻热,1、水肿、小便不利，痰饮，泄泻2、湿热带下，淋浊
薏苡仁,甘淡，微寒，脾胃肺,利水渗湿，健脾止泻，清热排脓，除痹,1、水肿、小便不利2、脾虚泄泻3、肺痈，肠痈4、湿痹筋脉拘挛
赤小豆,甘，平，心小肠,利水消肿，解毒排脓，利湿退黄,1、用于水肿，小便不利2、用于痈疮肿毒3、用于黄疸
冬瓜皮,甘微寒，肺小肠,利水消肿,水肿；暑热烦渴
玉米须,甘平，膀胱肝胆,利水消肿，利湿退黄,1水肿，小便不利，淋证。2.黄疸
葫芦,甘平，肺小肠,利水消肿,面目浮肿，大腹水肿，脚气肿胀。
香加皮,辛苦温，有毒，肝肾心,利水消肿，祛风湿，强筋骨,1.利水，小便不利，2.风湿痹痛，3.肝肾不足，筋骨痿软无力。
泽漆,辛苦微寒，有毒，大肠小肠肺,利水消肿，化痰止咳，散结,1.大腹水肿，四肢面目浮肿。2.肺热咳嗽及痰饮喘咳。3.瘰疬，痰核，廯疮。
蝼蛄,咸寒，膀胱胃,利水消肿,1.水肿，小便不利，2.石淋，癃闭
车前子,甘，寒 ，肾肝肺,利尿通淋，渗湿止泻，清肝明目，清肺化痰,1、用于热淋，水肿、小便不利2、用于暑湿泄泻3、用于目赤肿痛，目暗昏花4、用于热痰咳嗽
滑石,甘、淡，寒，膀胱胃,利尿通淋，清热解暑，祛湿敛疮,1、热淋，石淋2、暑热烦渴、湿温初起3、收湿敛疮
关木通,苦，寒，心小肠膀胱,清热利水通淋， 痛经下乳,1、用于热淋，脚气肿胀2、用于口舌生疮，心烦尿赤3、用于血瘀闭经、乳少4、用于湿热痹痛
通草,甘、淡，微寒，肺胃膀胱,利尿通淋，下乳,1、用于湿热淋证2、用于产后乳汁不通或乳少
瞿麦,苦，寒，心小肠膀胱,利尿通淋,用于热淋
扁蓄,苦微寒，膀胱,利尿通淋，杀虫止痒,1、用于热淋，血淋2、用于湿疹阴痒，虫积腹痛
地肤子,苦，寒，膀胱,清热利湿，止痒,1、用于热淋2、用于湿疹，风疹，皮肤瘙痒，阴痒
海金沙,甘寒，膀胱小肠,利尿通淋,用于各种淋证
石韦,苦甘，微寒，肺膀胱,利尿通淋，清肺止咳，凉血止血,1、热淋，石淋，血淋2、肺热咳喘3、血热出血证
冬葵子,甘寒，大肠小肠膀胱,利水通淋，下乳，润肠通便,1.淋证，水肿。2.产后乳汁不下，乳房胀痛。3.肠燥便秘，
灯心草,甘淡微寒，心肺小肠,利尿通淋，清心除烦,1、热淋2、心烦失眠，小儿夜啼3、治口舌生疮，咽痛
萆薢,苦平脾胃膀胱,利湿浊，祛风湿,1、用于膏淋、白浊2、用于风湿痹证
茵陈,苦寒，脾胃肝胆,清利湿热，利胆退黄,1、用于黄疸2、用于湿温，湿疮，湿疹
金钱草,甘、淡，微寒，肝胆肾膀胱,除湿退黄，利尿通淋， 解毒消肿,1、用于湿热黄疸2、用于石淋、热淋3、用于痈、恶疮肿毒、毒蛇咬伤4、用治烧伤，烫伤
虎杖,苦，微寒，肝胆肺,利胆退黄，清热解毒， 活血祛瘀，祛痰止咳,1、湿热黄疸淋浊，带下2、痈疮肿毒、烧烫伤、毒蛇咬伤3、血瘀经闭、痛经、跌打损伤、癥瘕4、肺热咳嗽
地耳草,苦平，肝胆,利湿退黄，清热解毒，活血消肿,1.湿热黄疸，2.肺痈，肠痈，痈疮肿毒，3.跌打损伤
垂盆草,甘淡微酸凉，肝胆小肠,利湿退黄，清热解毒,1.湿热黄疸，2.痈疮肿毒，毒蛇咬伤
积雪草,苦辛寒，肝脾肾,清热利湿，解毒消肿,湿热黄疸；痈疮肿毒，中暑腹泻。利水通淋，活血疗伤
溪黄草,苦，寒，肝胆大肠,清热利湿，利湿退黄， 凉血散瘀,1、用于湿热黄疸，湿热泻痢2、用于跌打损伤、瘀血肿痛
附子,辛、甘，大热；有毒，心肾脾,回阳救逆，补火助阳， 散寒止痛,1、用于亡阳证2、用于阳虚证3、用于寒痹证
肉桂,辛、甘，热，肾脾心肝,补火助阳，散寒止痛，温经通脉,1、用于肾阳虚证2、用于寒凝血滞的脘腹冷痛，寒湿痹痛，胸痹，寒疝腹痛3、用于寒凝血滞的痛经，经闭4、用于阴疽
干姜,辛，热，脾胃心肺,温中散寒，回阳通脉，温肺化饮,1、用于脾胃寒证2、用于亡阳证3、用于寒饮伏肺喘咳
吴茱萸,辛、苦，热；有小毒，肝脾胃肾,散寒止痛，疏肝降逆，助阳止泻,1、用于寒凝肝脉诸痛2、用于呕吐吞酸3、用于虚寒泄泻证
丁香,辛，温，脾胃肾,温中降逆，散寒止痛，温肾助阳,1、用于胃寒呕吐、呃逆2、用于脘腹冷痛3、用于肾虚阳痿
小茴香,辛，温，肝肾脾胃,散寒止痛，理气和中,1、用于寒疝腹痛，睾丸偏坠胀痛，少腹冷痛，痛经2、用于中寒气滞证
花椒,辛，热，脾胃,温中止痛，杀虫止痒,1、用于脾胃寒证2、用于湿疹瘙痒，阴痒，蛔虫腹痛
高良姜,辛，热，脾胃,散寒止痛，温中止呕,1、用于胃寒腹痛2、用于胃寒呕吐
胡椒,辛热，胃大肠,温中止痛，下气消痰。,1.脾胃寒证，2.癫痫
荜茇,辛热，胃大肠,温中散寒,脾胃寒证
荜澄茄,辛温，脾胃肾膀胱,温中散寒，行气止痛,1.脾胃寒证，2.寒疝腹痛，3.下焦虚寒之小便不利。
山柰,辛温，胃,温中止痛，健胃消食,1.脘腹冷痛，胸膈胀满。2.食积不化证。
陈皮,辛、苦，温，脾肺,理气健脾，燥湿化痰,1、用于脾胃气滞证2、用于痰湿壅滞证
橘红,辛、苦，温，脾肺,散寒、燥湿、利气、 化痰,1、用于风寒咳嗽候痒痰多2、用于食积伤酒，呕恶痞闷
青皮,苦、辛，温，肝胆胃,疏肝破气，消积化滞,1、肝气郁结诸证2、食积气滞证3、气滞血瘀证
枳实,苦辛微寒，脾胃大肠,破气消积，化痰除痞,1、食积气滞，脘腹痞满证2、痰浊阻滞，胸脘痞满证
木香,辛苦温，脾胃大肠胆,行气，调中，止痛,1、脾胃气滞诸证2、大肠气滞，泻下后重3、肝胆气滞证
香附,辛微苦微甘平肝三焦,疏肝理气，调经止痛,1、肝郁气滞诸痛证2、月经不调诸证
乌药,辛，温，肺脾肾膀胱,行气止痛，温肾散寒,1、寒凝气滞所致胸腹诸痛证2、下元虚冷之尿频、遗尿证
沉香,辛、苦，温，脾胃肾,行气止痛，降逆止呕，温肾纳气,1、寒凝气滞之胸腹胀痛证2、胃寒呕吐3、用于虚喘
檀香,辛，温，脾胃肺,理气调中，散寒止痛,寒凝气滞，胃脘冷痛，呕吐食少等证
川楝子,苦，寒；有小毒，肝胃小肠膀胱,行气止痛，疏肝泻热，杀虫疗癣,1、肝郁化火，胁肋胀痛之证2、虫积腹痛
荔枝核,辛微苦温，肝胆,理气止痛，祛寒散结,1.疝气痛，睾丸肿痛。2.妇女痛经，产后腹痛
佛手,辛苦温，肝胆胃肺,疏肝解郁，理气和中，燥湿化痰。,1.肝郁气滞。2.脾胃气滞，3.痰湿壅肺证。
玫瑰花,甘、微苦，温，肝胃,行气解郁，活血止痛,1、用于肝胃不和证2、用于气滞血瘀证3、用于外伤肿痛
薤白,辛苦温，肺心胃大肠,通阳散结，行气导滞,1.胸痹证，2.肠胃气滞，泻痢后重。
青木香,辛苦微寒，肝胃,行气止痛，解毒消肿,1.肝胃气滞证，2.夏令饮食不慎，秽浊内阻之腹痛吐泻，3.痈疮疔毒，皮肤湿疮，毒蛇咬伤。
大腹皮,辛微温脾胃大肠小肠,行气导滞，利水消肿,1、用于胃肠气滞证2、用于水肿，脚气肿痛
柿蒂,苦平，胃,降气止呃,1用于呃逆证
刀豆,甘温，胃肾,降气止呃，温肾助阳,1.虚寒呃逆，2.肾虚腰痛
甘松,辛肝温，脾胃,行气止痛，开郁醒脾,1.中焦寒凝气滞，2.脾胃不和证，3.止痛作用。单泡含漱治龋齿作痛。
九香虫,咸温，肝脾肾,理气止痛，温肾助阳,1.肝胃气滞，胸胁胀痛。2.治肾阳不足之证
山楂,酸甘，微温，脾胃肝,消食化积，行气散瘀,1、用于肉食积滞证2、用于泻痢腹痛3、用于瘀阻肿痛
神曲,甘、辛，温，脾胃,消食和胃,用于饮食积滞证
麦芽,甘，平，脾胃肝,消食和中，回乳消胀,1、用于食积不化2、用于妇女断乳，乳汁郁积、乳房胀痛
谷芽,甘，平，脾胃,消食健胃,用于食积停滞证
莱菔子,辛、甘，平，脾胃肺,消食除胀，降气化痰,1、用于食积气滞证2、用于痰盛气喘证
鸡矢藤,甘苦微寒，脾胃肝肺,消食健胃，化痰止咳，清热解毒，止痛,1.饮食积滞，小儿疳积，2.热痰咳嗽。3.热毒泻痢，咽喉肿痛，疮痈肿毒。4。多种痛证
鸡内金,甘，平，脾胃小肠膀胱,消食健胃，固精止遗,1、用于饮食积滞，小儿疳积2、用于遗精遗尿3、用于结石癥块
使君子,甘，温，脾胃,驱虫消积,1、用于蛔虫证，蛲虫证2、用于小儿疳积
苦楝皮,苦，寒；有毒，肝脾胃,杀虫，疗癣,1、用于蛔虫证、蛲虫、钩虫病2、用于疥癣湿疮
槟榔,苦、辛，温，大肠胃,驱虫消积， 行气利水,1、用于多种肠道寄生虫病2、用于食积气滞，泻痢后重，小儿疳积3、用于水肿，脚气肿痛
南瓜子,甘平，胃大肠,杀虫,用于绦虫证
鹤草芽,苦涩凉，肝小肠大肠,杀虫,用于绦虫证
雷丸,苦寒，有小毒，胃大肠,杀虫,用于绦虫证，钩虫病，蛔虫病
芜荑,辛苦温，脾胃,杀虫，消积,1、用于虫积腹痛2、用于小儿疳积3、外用祛湿杀虫止痒
鹤虱,苦辛平，有小毒，脾胃,杀虫消积,用于虫积腹痛
榧子,甘平，肺胃大肠,杀虫消积，通便，润肺,1.虫积腹痛，2.肠燥便秘，3.肺燥咳嗽。
大蓟,苦、甘，凉，心肝,凉血止血，散瘀解毒消痈,1、用于学热出血证2、用于热毒疮痈
小蓟,苦甘凉，心肝,凉血止血，散瘀解毒消肿,1、用于血热妄行出血证2、用于热毒疮痈
地榆,苦、酸，微寒，肝胃大肠,凉血止血，解毒敛疮,1、用于各种血热出血证2、用于痈疽肿毒
槐花,苦微寒，肝大肠,凉血止血，清肝明目,1、用于血热出血证2、用于肝火上炎之目赤头痛
侧柏叶,苦涩，微寒，肺肝大肠,凉血止血，祛痰止咳,1、用于各种出血证2、用于咳嗽痰多证
白茅根,甘，寒，肺胃大肠,凉血止血，清热利尿,1、用于血热出血证
苎麻根,甘，寒，心肝,凉血止血，安胎，清热解毒,1、用于血热出血证2、用于胎漏下血，胎动不安
荠菜,甘、淡，凉，肝胃,凉血止血，清肝明目，清热理湿,1、用于血热出血证2、用于肝经热甚之头痛目胀，翳障  3、用于湿热之泻痢，水肿，淋浊
景天三七,甘、微酸，平，肝心,化瘀止血，消肿止痛，宁心安神,1、用于各种出血证2、用于跌打损伤
三七,甘微苦温，肝胃,化瘀止血，消肿定痛,1、用于体内外各种出血证2、用于跌仆瘀肿疼痛
茜草,苦，寒，肝,凉血止血，活血通经,1、用于血热夹瘀之出血证2、用于血瘀经闭，跌打损伤，风湿痹痛
蒲黄,甘微辛平，肝心,化瘀，止血，利尿,1、用于各种内外出血证2、用于瘀滞心腹疼痛3、用于血淋
五灵脂,苦甘温，肝脾,化瘀止血，活血止痛,1、用于瘀血内阻之出血证2、用于瘀血内阻诸痛证3、治小儿疳积
降香,辛，温，肝脾,化瘀止血，活血止痛，降气避秽,1、用于瘀阻出血证2、用于血瘀气滞所致的胸胁心腹疼痛及跌打损伤疼痛
花蕊石,酸、涩，平，肝,收敛止血，化瘀,用于各种出血证
白及,苦、甘、涩，微寒，肺胃肝,收敛止血，消肿生肌,1、用于体内外诸出血证2、用于疮疡肿毒，烫伤及肛裂、手足皲裂等
仙鹤草,苦、涩，平，肺肝脾,收敛止血，补虚， 止痢，杀虫,1、用于多种出血证2、用于泻痢3、用于脱力劳伤4、用于疟疾，滴虫性阴道炎
紫珠,苦涩凉，肝肺胃,凉血收敛，清热解毒,1.各种内外出血证，2。痈疽疮毒，毒蛇咬伤，烧烫伤
棕榈,苦涩平，肺肝大肠,收敛止血,用于各种出血证
血余炭,苦涩平，肝胃大肠,收敛止血，化瘀，利尿,1、各种出血证2、小便不利，石淋，血淋，瘀阻黄疸
藕节,甘涩平，肝肺胃,收敛止血，散瘀,用于各种出血证
鸡冠花,甘涩凉，肝大肠,收敛止血，清热凉血，止泻止带,1.各种出血证，2.泻痢，带下。3.敛疮消肿。
花生衣,肝微苦涩平，肝脾,收敛止血,各种出血证
檵木,甘苦涩凉，肝胃大肠,收敛止血，清热解毒，止泻,1.多种出血证，2.泄泻，痢疾，3.清热解毒。
艾叶,辛、苦，温，肝脾肾,温经止血，散寒止痛，调经安胎，祛湿止痒,1、用于虚寒性出血证，尤宜于崩漏2、用于虚寒性腹痛3、用于虚寒性的月经不调及胎动不安4、用于泻痢霍乱，妇女带下及湿疹，疥癣
炮姜,苦、涩，温，脾肝,温经止血，温中止痛，温中止泻,1、用于虚寒性吐血，便血，崩漏等2/用于虚寒腹痛，腹泻等
灶心土,辛，温，脾胃肝,温中止血，温胃止呕，温脾止泻,1、用于脾气虚寒出血2、用于虚寒性呕吐，反胃及妊娠恶阻3、用于脾胃虚寒之脘腹疼痛，久泻不止
川芎,辛，温，肝胆心包,活血行气， 祛风止痛,1、用于血瘀气滞证2、用于头痛3、用于风湿痹痛、肢体麻木
延胡索,辛苦温，心肝脾,活血，行气，止痛,用于血瘀气滞诸痛
郁金,辛、苦，寒，肝心胆,活血止痛，行气解郁，凉血清心，利胆退黄,1、用于血瘀气滞之胸胁腹痛2、用于热病神昏，癫痫等证3、用于肝胆湿热证4、用于肝郁化火，气火上逆，破血妄行之吐血、衄血及妇女倒经等
姜黄,辛、苦，温，肝脾,破血行气，通络止痛,1、用于血瘀气滞诸证2、用于风寒湿痹
乳香,辛苦温，心肝脾,活血止痛，消肿生肌,1、用于血瘀诸痛证2、用于疮疡痈仲，瘰疬
没药,苦辛平，心肝脾,活血止痛，消肿生肌,用于瘀血阻滞之证
丹参,苦，微寒，心肝,活血调经，凉血消痈，清心安神,1、用于血瘀经闭、通经、月经不调，产后瘀滞腹痛等证2、用于血瘀之心腹疼痛，癥瘕积聚等证3、用于疮疡痈肿4、用于温热病热入营血、烦躁不安及心悸失眠等证
红花,辛，温，心肝,活血通经，祛瘀止痛,1、用于血瘀通经、经闭，产后瘀滞腹痛等证2、用于癥瘕积聚，跌打损伤，心腹损伤，心腹瘀阻疼痛等证3、用于血热瘀滞斑疹紫暗
桃仁,苦、甘，平；有小毒，心肝大肠,活血祛瘀，润肠通便，止咳平喘,1、用于多种血瘀证2、用于肺痈，肠痈3、用于肠燥便秘4止咳平喘
益母草,苦、辛，微寒，肝心膀胱,活血祛瘀，利水消肿，清热解毒,1、用于妇人经产诸证2、用于水肿，小便不利3、用于疮痈肿毒，皮肤搔痒
牛膝,苦、酸、甘，平，肝脾,活血通经，补肝肾，强筋骨，引火（血）下行，利尿通淋,1、用于血瘀之痛经、经闭、产后腹痛、胞衣不下及等证2、用于肝肾不足，腰膝酸软无力3、用于上部火热证4、用于淋证，水肿，小便不利
泽兰,苦辛微温，肝脾,活血化瘀，痛经，利水消肿,1.血滞痛经，经闭及产后瘀滞腹痛，恶露不尽，2.跌打损伤，胸胁刺痛及痈肿，3.产后水肿，小便不利。
鸡血藤,苦、甘，温，肝,活血补血，舒筋活络,1、用于血瘀或血虚之月经不调、痛经、经闭等证2、用于痹痛，肢体麻木，半身不遂
王不留行,苦，平，肝脾,活血通经，下乳，消痈，利水通淋,1、用于血瘀痛经，经闭等证2、用于产后乳汁不下或乳痈等证3、用于热淋、血淋、石淋等证
月季花,甘温，肝,活血调经，解郁消肿,1.肝郁血滞之月经不调，痛经，闭经，及胸腹胀痛，2.疮痈肿痛，瘰疬，跌打损伤。（可开水泡服）
凌霄花,辛，微寒，肝,破血通经，凉血祛风,1.血瘀经闭，月经不调，癥瘕积聚。2.风热痒疹
凤仙花,甘微苦，温，肝,活血消肿止痛，祛风,1．血瘀经闭，痛经，产后恶露不尽，跌打损伤，2.风湿痹痛，肢体偏废，卧床不起，3.痈毒疔疮，饿掌风，灰指甲。
土鳖虫,咸，寒；有小毒，肝,破血逐瘀，续筋接骨,1、用于跌打损伤，筋骨折伤，瘀肿疼痛2、用于血瘀经闭，产后瘀滞腹痛，癥瘕
自然铜,辛，平，肝,散瘀止痛，接骨疗伤,用于跌打损伤，骨折筋伤，瘀肿疼痛
骨碎补,苦，温，肝肾,活血续筋，补骨强骨,1、用于跌打损伤，筋伤骨折，瘀肿疼痛2、用于肾虚腰痛，足膝痿弱，耳鸣耳聋，牙痛及久泻等证
血竭,甘、咸，平，心肝,活血化瘀止痛，止血敛疮生肌,1、用于跌打损伤，瘀滞心腹刺痛等证2、用于外伤出血及疮疡不敛等
儿茶,苦、涩，凉，心肺,活血疗伤，止血生肌敛疮,用于外伤瘀肿，出血，湿疮等
刘寄奴,辛、苦，温，心肝脾,破血，通经，止痛，止血，消食化积,1、用于跌打损伤2、用于血瘀经闭，产后瘀阻腹痛
莪术,辛、苦，温，肝脾,破血行气，消积止痛,1、用于血瘀气滞所致的癥瘕积聚2、用于食积气滞，脘腹胀痛
三棱,苦、辛，平，肝脾,破血行气，消积止痛,1、用于血瘀气滞经闭腹痛，癥瘕积聚2、用于食积气滞，脘腹胀痛
水蛭,咸苦平有小毒，肝,破血逐瘀消癥,癥瘕积聚，血瘀经闭，跌打损伤
虻虫,苦微寒，有毒，肝,破血通经，逐瘀消癥,1.癥瘕痞块，血瘀经闭。2。跌打损伤，血瘀肿痛
斑蝥,辛寒，有大毒，肝肾胃,破血逐瘀消癥，攻毒蚀疮散结,1.经闭，癥瘕，2.痈疽，顽廯，瘰疬，狂犬咬伤，3.酒浸液搽斑秃，能促进毛发生长
穿山甲,咸，微寒，肝胃,活血消癥，通经，下乳，消肿排脓,1.用于瘀血阻滞之癥瘕积聚，经闭，风湿痹痛2、用于产后乳汁不下3、用于痈肿疮毒，瘰疬等
半夏,辛，温；有毒，脾胃肺,燥湿化痰，降逆止呕，消痞散结，外用消肿止痛,1、用于湿痰、寒痰证2、 用于胃气上逆呕吐 3、用于胸痹，结胸，心下痞，梅核气 4、用于瘰疬瘿瘤，痈疽肿毒及毒蛇咬伤等
天南星,苦、辛，温；有毒，肺肝脾,燥湿化痰，祛风解痉；外用消肿止痛,1、用于湿痰、寒痰证2、用于风痰所致的眩晕，中风，癫痫及破伤风3、用于痈疽肿痛，瘰疬痰核，毒蛇咬伤
白附子,辛、甘，温；有毒，胃肝,燥湿化痰，祛风止痉，解毒散结止痛,1、用于风痰所致中风口眼斜，惊风癫痫，破伤风，偏头痛等2、用于瘰疬痰核、痈疽肿毒及毒蛇咬伤
白芥子,辛，温，肺,温肺化痰，利气散结，通络止痛,1、用于寒痰壅肺，悬饮2、用于痰湿阻滞经络之肢体关节肿痛，阴疽流注
皂荚,辛、咸，温；有小毒，肺大肠,祛顽痰，开窍通闭，祛风杀虫,1、用于顽痰阻肺之咳喘痰多证
旋覆花,苦、辛、咸，微温，肺脾胃大肠,降气化痰，降逆止呕,1、用于痰饮壅肺或痰饮蓄结证2、用于噫气，呕吐
白前,辛、苦，微温，肺,降气，消痰，止咳,用于肺气壅实，肺气上逆，咳嗽痰多，或咯痰不爽，胸满喘急等
前胡,苦辛微寒，肺,降气化痰，宣散风热,1、用于痰热阻肺证2、用于外感风热咳嗽有痰之证
桔梗,苦、辛，平，肺,开宣肺气，祛痰排脓， 利咽,1、用于肺气不宣的咳嗽痰多，胸闷不畅2、用于热毒壅肺之肺痈3、用于咽喉肿痛，失音
川贝母,苦、甘，微寒，肺心,清化热痰，润肺止咳， 散结消肿,1、用于肺热、肺燥及阴虚咳嗽2、用于瘰疬及乳痈、肺痈、疮痈等
浙贝母,苦，寒，肺心,清热散结，化痰止咳,1、用于风热、痰热咳嗽2、用于瘰疬，瘿瘤，疮痈，肺痈等
瓜蒌,甘、微苦，寒，肺胃大肠,清热化痰，利气宽胸， 散结消痈，润燥滑肠,1、用于痰热咳喘2、用于胸痹，结胸等3、用于肺痈、肠痈、乳痈等4、用于肠燥便秘
竹茹,甘，微寒，肺胃,清化热痰，开郁除烦， 清胃止呕,1、用于肺热咳嗽2、用于痰火内扰之心烦失眠3、用于胃热呕吐
竹沥,甘寒，心肺肝,清热滑痰，定惊利窍,1.肺热痰壅咳喘，2.中风痰迷，惊痫癫狂
天竺黄,甘，寒，心肝,清化热痰，清心定惊,用于痰热癫痫，中风痰壅，小儿痰热惊风，热病神昏等
海藻,咸寒，肝胃肾,消痰软坚，利水消肿,1、用于瘿瘤，瘰疬，睾丸肿痛2、用于脚气浮肿及水肿
昆布,咸寒，肝胃肾,消痰散结，利水消肿,1、、用于瘿瘤，瘰疬等证2、用于水肿、脚气浮肿等证
黄药子,苦寒，有小毒，肺肝,化痰软坚，散结消瘿，清热解毒，凉血止血,1.瘿瘤，2.疮疡肿毒，3.血热出血。
海蛤壳,苦咸寒，肺胃,清热化痰，软坚散结，制酸止痛,1.肺热，痰火之咳喘，2.痰核，瘿瘤，瘰疬，3.利水消肿
海浮石,咸寒，肺,清热化痰，软坚散结,1.痰热咳喘，2.瘿瘤，瘰疬，3。利尿通淋。
瓦楞子,咸平，肺胃肝,消痰软坚，化瘀散结，制酸止痛,1.顽痰积结，瘰疬，瘿瘤，2.癥瘕痞块，3.煅用可制酸止痛
礞石,肝咸平，肺肝,坠痰下气，平肝镇惊,1.顽痰，老痰胶结，气逆咳喘之实证，2.痰火内盛的癫狂，惊风
蔊菜,辛凉，肺肝,清肺化痰，清热解毒，活血通经，利湿退黄,1.痰热咳喘，2.血瘀闭经，跌打损伤，痹证，3.热毒疮痈，凄疮，咽喉肿痛，蛇伤。4.湿热黄疸，5.健胃消食，利水消肿。
苦杏仁,苦，微温；有小毒，肺大肠,止咳平喘 润肠通便,1、用于咳喘诸证2、用于肠燥便秘
苏子,辛，温，肺大肠,降气化痰，止咳平喘，润肠通便,1、用于痰壅气逆咳喘2、用于肠燥便秘
百部,甘苦，微温，肺,清肺止咳 杀虫灭虱,1、用于新久咳嗽，顿咳，肺痨咳嗽 2、用于蛲虫，阴道滴虫，头虱及疥癣等
紫菀,苦甘，微温，肺,润肺下气，化痰止咳,用于咳嗽有痰
款冬花,辛，温，肺,润肺下气，止咳化痰,用于多种咳嗽
马兜铃,苦微辛寒，肺大肠,清肺化痰 止咳平喘,用于肺热咳嗽
枇杷叶,苦，微寒，肺胃,清肺化痰止咳 降逆止呕,1、用于肺热咳嗽2、用于胃热呕逆
桑白皮,甘，寒，肺,泻肺平喘 利水消肿,用于肺热咳喘、水肿
